idx,Team,W,L,newcol,anothercol,ratio
0,Arizona Diamondbacks,74,88,0,0,0.8409090909090909
1,Atlanta Braves,101,61,0,1,1.6557377049180328
2,Baltimore Orioles,83,79,0,2,1.0506329113924051
3,Boston Red Sox,78,84,0,3,0.9285714285714286
4,Chicago Cubs,74,88,0,4,0.8409090909090909
5,Chicago White Sox,81,81,0,5,1.0
6,Cincinnati Reds,62,100,0,6,0.62
7,Cleveland Guardians,92,70,0,7,1.3142857142857143
8,Colorado Rockies,68,94,0,8,0.723404255319149
9,Detroit Tigers,66,96,0,9,0.6875
10,Houston Astros,106,56,0,10,1.8928571428571428
11,Kansas City Royals,65,97,0,11,0.6701030927835051
12,Los Angeles Angels,73,89,0,12,0.8202247191011236
13,Los Angeles Dodgers,111,51,0,13,2.176470588235294
14,Miami Marlins,69,93,0,14,0.7419354838709677
15,Milwaukee Brewers,86,76,0,15,1.131578947368421
16,Minnesota Twins,78,84,0,16,0.9285714285714286
17,New York Mets,101,61,0,17,1.6557377049180328
18,New York Yankees,99,63,0,18,1.5714285714285714
19,Oakland Athletics,60,102,0,19,0.5882352941176471
20,Philadelphia Phillies,87,75,0,20,1.16
21,Pittsburgh Pirates,62,100,0,21,0.62
22,San Diego Padres,89,73,0,22,1.2191780821917808
23,San Francisco Giants,81,81,0,23,1.0
24,Seattle Mariners,90,72,0,24,1.25
25,St. Louis Cardinals,93,69,0,25,1.3478260869565217
26,Tampa Bay Rays,86,76,0,26,1.131578947368421
27,Texas Rangers,68,94,0,27,0.723404255319149
28,Toronto Blue Jays,92,70,0,28,1.3142857142857143
29,Washington Nationals,55,107,0,29,0.514018691588785
