Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,Los Angeles Dodgers,111,51,.685,W 1,5.2,3.2,2.1,-0.2,1.8,116-46,-5,19-14,23-10,54-22,15-5,57-24,54-27,6-9,16-15,79-35,32-16,50-27,61-24,6-4,13-7,20-10
2,Houston Astros,106,56,.654,W 2,4.5,3.2,1.4,-0.1,1.3,106-56,0,17-15,26-8,51-25,12-8,55-26,51-30,5-6,28-16,64-44,42-12,42-27,64-29,7-3,14-6,21-9
3,Atlanta Braves,101,61,.623,L 1,4.9,3.8,1.1,-0.1,1.0,100-62,1,48-28,21-12,19-14,13-7,55-26,46-35,6-7,26-18,64-44,37-17,40-37,61-24,7-3,13-7,20-10
4,New York Mets,101,61,.623,W 3,4.8,3.7,1.0,-0.1,1.0,99-63,2,50-26,23-10,19-14,9-11,54-27,47-34,10-2,21-15,69-38,32-23,45-37,56-24,5-5,12-8,17-13
5,New York Yankees,99,63,.611,L 2,5.0,3.5,1.5,0.0,1.5,106-56,-7,47-29,25-8,17-16,10-10,57-24,42-39,10-8,31-27,73-48,26-15,50-43,49-20,5-5,13-7,20-10
6,St. Louis Cardinals,93,69,.574,L 1,4.8,3.9,0.8,-0.3,0.6,95-67,-2,16-18,48-28,19-13,10-10,53-28,40-41,8-4,26-17,69-58,24-11,34-38,59-31,4-6,10-10,16-14
7,Cleveland Guardians,92,70,.568,W 2,4.3,3.9,0.4,-0.1,0.2,88-74,4,15-17,47-29,18-16,12-8,46-35,46-35,13-6,28-17,64-53,28-17,34-34,58-36,7-3,16-4,24-6
8,Toronto Blue Jays,92,70,.568,W 1,4.8,4.2,0.6,0.1,0.7,91-71,1,43-33,19-15,17-15,13-7,47-34,45-36,8-7,30-20,80-50,12-20,45-49,47-21,7-3,12-8,19-11
9,Seattle Mariners,90,72,.556,W 3,4.3,3.8,0.4,0.0,0.4,89-73,1,16-17,21-12,41-35,12-8,46-35,44-37,11-5,34-22,68-52,22-20,38-33,52-39,7-3,10-10,16-14
10,San Diego Padres,89,73,.549,L 1,4.4,4.1,0.3,0.0,0.3,86-76,3,19-15,21-11,41-35,8-12,44-37,45-36,12-5,30-17,58-50,31-23,38-44,51-29,5-5,11-9,16-14
11,Philadelphia Phillies,87,75,.537,L 2,4.6,4.2,0.4,0.0,0.4,87-75,0,41-35,20-13,17-16,9-11,47-34,40-41,8-6,22-25,59-57,28-18,34-47,53-28,4-6,7-13,14-16
12,Milwaukee Brewers,86,76,.531,L 1,4.5,4.2,0.2,-0.2,0.0,85-77,1,13-18,42-34,16-19,15-5,46-35,40-41,9-9,28-23,59-51,27-25,35-36,51-40,4-6,10-10,16-14
13,Tampa Bay Rays,86,76,.531,L 5,4.1,3.8,0.3,0.1,0.4,87-75,-1,40-36,15-17,19-15,12-8,51-30,35-46,11-10,27-27,64-60,22-16,41-48,45-28,2-8,7-13,12-18
14,Baltimore Orioles,83,79,.512,L 1,4.2,4.2,-0.1,0.2,0.1,79-83,4,34-42,16-17,21-12,12-8,45-36,38-43,8-5,23-24,56-56,27-23,42-47,41-32,4-6,8-12,12-18
15,Chicago White Sox,81,81,.500,L 1,4.2,4.4,-0.2,-0.1,-0.3,78-84,3,15-17,37-39,18-16,11-9,37-44,44-37,6-9,27-16,64-61,17-20,31-36,50-45,5-5,8-12,15-15
16,San Francisco Giants,81,81,.500,W 1,4.4,4.3,0.1,0.0,0.1,83-79,-2,19-14,19-14,33-43,10-10,44-37,37-44,7-7,22-27,52-55,29-26,31-47,50-34,7-3,13-7,17-13
17,Minnesota Twins,78,84,.481,W 1,4.3,4.2,0.1,-0.1,0.0,82-80,-4,18-16,39-37,13-19,8-12,46-35,32-49,5-10,20-28,51-62,27-22,39-53,39-31,4-6,6-14,10-20
18,Boston Red Sox,78,84,.481,W 3,4.5,4.9,-0.3,0.2,-0.1,76-86,2,26-50,18-15,25-8,9-11,43-38,35-46,7-11,24-26,55-71,23-13,47-65,31-19,6-4,9-11,14-16
19,Chicago Cubs,74,88,.457,W 1,4.1,4.5,-0.5,-0.1,-0.6,73-89,1,21-10,37-39,10-25,6-14,37-44,37-44,7-12,26-27,55-64,19-24,37-58,37-30,8-2,14-6,18-12
